substrate,arm,N,reference_m,refit_median_m,frozen_median_m,refit_minus_frozen_m,refit_minus_frozen_pp
recovered29,legacy_plus5,2498,597.6726773737064,895.2634410290896,866.3879624669551,28.875478562134504,4.831319826935899
recovered29,legacy_minus5,2498,597.6726773737064,548.1128436611066,609.3599236644513,-61.24708000334476,-10.24759576972411
recovered29,operational_plus5,2498,597.6726773737064,671.560814219227,679.9166809314647,-8.355866712237685,-1.3980673750981958
official32_minus71,legacy_plus5,2498,593.7425223082155,659.1088231627432,616.2920052588395,42.81681790390371,7.2113443614330235
official32_minus71,legacy_minus5,2498,593.7425223082155,598.9552925979203,606.3488434189727,-7.393550821052372,-1.2452452945949413
official32_minus71,operational_plus5,2498,593.7425223082155,627.0782278378335,607.31154611036,19.766681727473497,3.3291672711311198
