receiver_count,roster_size,exact_fraction,exact_percentage,legacy_label_percent
1,29,0.034482758620689655,3.4482758620689653,3
3,29,0.10344827586206896,10.344827586206897,10
7,29,0.2413793103448276,24.137931034482758,24
14,29,0.4827586206896552,48.275862068965516,48
21,29,0.7241379310344828,72.41379310344827,72
29,29,1.0,100.0,100
