substrate,construction,method,baseline_m,rotation_m,rotation_pct,iso8_median_m,iso8_min_m,iso8_max_m,iso8_pct,central_contrast_pp,controls_above_rotation,controls_below_rotation,control_medians_json
recovered29,legacy,WCL,597.6726773737064,895.2634410290896,49.79159578835972,716.5097157749852,537.8959340414359,895.592152921157,19.88329781503023,29.90829797332949,1,7,"[712.351457811405, 754.0801830972682, 895.592152921157, 569.5931579560745, 649.7085288080767, 762.9946653798829, 537.8959340414359, 720.6679737385655]"
recovered29,legacy,ABS,641.0128583786435,811.6151073791002,26.614481561566855,668.8143567149359,530.632610427266,769.7312239386872,4.337120226669492,22.27736133489736,0,8,"[721.2207594628246, 690.6827310463187, 769.7312239386872, 530.632610427266, 639.626275972218, 646.945982383553, 600.7757542650479, 730.7948611543109]"
recovered29,legacy,DIFF,963.9527294587203,1077.964347092804,11.827511261688484,1203.319443852635,825.219994024028,1282.9929975529444,24.831789680010978,-13.004278418322494,5,3,"[1187.3933084229357, 1243.8237066928389, 1219.2455792823343, 825.219994024028, 925.2071117386128, 1279.3140601977584, 889.6828553695284, 1282.9929975529444]"
recovered29,legacy,Min-Max,466.00552668865595,623.2348961292362,33.73980788550328,504.57369367680786,451.2370954538461,589.8502619524751,8.276332528116084,25.463475357387196,0,8,"[512.8794033339544, 500.4963303644787, 589.8502619524751, 451.2370954538461, 465.23633652019987, 504.20464885556044, 504.9427384980553, 532.4285545744765]"
recovered29,operational,WCL,597.6726773737064,671.560814219227,12.362642570545459,619.6757854819095,553.9545324891658,692.6182750267762,3.681464611179688,8.681177959365773,2,6,"[628.8691099556595, 608.0458814913634, 664.1897492748056, 681.6599657888592, 553.9545324891658, 609.793227720799, 610.4824610081596, 692.6182750267762]"
recovered29,operational,ABS,641.0128583786435,693.9341492061328,8.255885999127484,661.6530512873471,641.0615891562517,689.800449446587,3.2199343022400893,5.035951696887395,0,8,"[641.0615891562517, 642.6904882778774, 671.2851211037355, 670.9284129072496, 644.6212381994001, 689.800449446587, 659.8031659116367, 663.5029366630574]"
recovered29,operational,DIFF,963.9527294587203,1077.808608727102,11.811355037327823,1007.9692746770387,888.0569307584649,1096.2836499840093,4.566255571788729,7.245099465539095,1,7,"[1051.074151982647, 893.3367526945985, 1071.753968307742, 1096.2836499840093, 888.0569307584649, 964.8643973714304, 902.4014856364408, 1059.3797654481393]"
recovered29,operational,Min-Max,466.00552668865595,496.3337377813088,6.508122619952425,480.06895952819497,452.493456984988,501.6491248639036,3.017868251364103,3.490254368588322,1,7,"[472.7863386871235, 463.86455012092034, 485.2537078725735, 501.6491248639036, 452.493456984988, 487.52744706677674, 474.88421118381643, 492.0246747905562]"
official32_minus71,legacy,WCL,593.7425223082155,659.1088231627432,11.009199846494344,682.441741851388,605.0273108422084,776.6598325046654,14.939004064985625,-3.92980421849128,6,2,"[667.837174711357, 665.2492538491158, 704.7626844309723, 776.6598325046654, 697.046308991419, 716.5631711735144, 622.232934392895, 605.0273108422084]"
official32_minus71,legacy,ABS,555.6165186830742,588.1894106415334,5.862477241616874,636.3143991675138,590.9326360255686,683.7836995969052,14.524024713251901,-8.661547471635027,8,0,"[613.3321859889923, 637.5818047321027, 590.9326360255686, 649.8551003428233, 683.7500564772258, 635.0469936029248, 620.9272312273727, 683.7836995969052]"
official32_minus71,legacy,DIFF,1082.7111969409727,1155.0877612638792,6.684752547807288,1301.7677991048172,1228.2495460870045,1406.5484427343044,20.23222838950533,-13.547475841698041,8,0,"[1282.6786499390114, 1228.2495460870045, 1320.856948270623, 1281.0162956702377, 1406.5484427343044, 1375.39216339405, 1403.5348655622677, 1229.97266874103]"
official32_minus71,legacy,Min-Max,478.88143519512585,515.0336723378,7.549308552323291,516.0499525174146,487.64112818937576,576.0991575615203,7.761528134233053,-0.21221958190976298,4,4,"[497.97115343379204, 505.4357693360054, 526.6641356988237, 576.0991575615203, 546.4162958975633, 537.2568259505349, 487.64112818937576, 495.5888706190541]"
official32_minus71,operational,WCL,593.7425223082155,627.0782278378335,5.614505324635193,577.8537983519379,548.690452131812,612.2037532550485,-2.676029315621361,8.290534640256553,0,8,"[596.1344783733093, 548.690452131812, 612.2037532550485, 591.8693159896873, 558.2790285968331, 606.9877571585557, 563.8382807141885, 554.2881011945594]"
official32_minus71,operational,ABS,555.6165186830742,578.666923362213,4.148617599378248,541.4801138366118,525.7451086745806,574.541544400575,-2.544273679977796,6.692891279356044,0,8,"[563.3803419155452, 539.3860055052728, 531.8754585442541, 543.5742221679509, 525.7451086745806, 528.1271202001878, 574.541544400575, 567.7911532569514]"
official32_minus71,operational,DIFF,1082.7111969409727,1106.3175574072834,2.1803007609976377,1088.115721857088,1023.9145049257766,1143.2936369369065,0.4991658838834215,1.6811348771142163,3,5,"[1123.4213775488383, 1069.2244138099354, 1101.5313567757605, 1143.2936369369065, 1074.7000869384153, 1120.4526705996248, 1058.9805292176347, 1023.9145049257766]"
official32_minus71,operational,Min-Max,478.88143519512585,514.1482872973793,7.364422487558647,474.7673534545286,447.4608547961052,483.7849026560813,-0.8591023661046581,8.223524853663305,0,8,"[479.7429293295671, 447.4608547961052, 483.7849026560813, 469.85005484915047, 471.1390324828229, 473.739074910439, 476.9479989525387, 475.7956319986181]"
