k,arm,selection_share,method,median_m,effect_pct,draw_min_m,draw_max_m,draws,range_status,source_file,source_line
4,random,0.095,Min-Max,515.0,10.6,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,133
5,top,0.409,WCL,864.0,44.6,807.0,875.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,134
5,top,0.409,ABS,820.0,28.0,695.0,892.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,134
5,top,0.409,DIFF,1067.0,10.7,979.0,1147.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,134
5,top,0.409,Min-Max,780.0,67.3,650.0,1010.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,134
5,bottom,0.004,WCL,599.0,0.2,598.0,599.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,136
5,bottom,0.004,ABS,644.0,0.4,643.0,644.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,136
5,bottom,0.004,DIFF,966.0,0.2,964.0,968.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,136
5,bottom,0.004,Min-Max,468.0,0.5,467.0,470.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,136
5,random,0.217,WCL,649.0,8.6,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,138
5,random,0.217,ABS,717.0,11.9,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,138
5,random,0.217,DIFF,947.0,-1.8,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,138
5,random,0.217,Min-Max,580.0,24.6,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,138
6,top,0.477,WCL,894.0,49.5,854.0,910.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,139
6,top,0.477,ABS,886.0,38.2,776.0,933.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,139
6,top,0.477,DIFF,1093.0,13.4,1029.0,1184.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,139
6,top,0.477,Min-Max,923.0,98.0,825.0,1006.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,139
6,bottom,0.01,WCL,598.0,0.1,598.0,599.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,141
6,bottom,0.01,ABS,644.0,0.4,644.0,645.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,141
6,bottom,0.01,DIFF,967.0,0.3,962.0,970.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,141
6,bottom,0.01,Min-Max,469.0,0.6,467.0,471.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,141
6,random,0.207,WCL,643.0,7.6,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,143
6,random,0.207,ABS,704.0,9.9,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,143
6,random,0.207,DIFF,992.0,2.9,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,143
6,random,0.207,Min-Max,579.0,24.2,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,143
7,top,0.535,WCL,1993.0,233.4,1851.0,2322.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,144
7,top,0.535,ABS,1058.0,65.0,965.0,1187.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,144
7,top,0.535,DIFF,1435.0,48.8,1174.0,1557.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,144
7,top,0.535,Min-Max,1600.0,243.3,1416.0,2021.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,144
7,bottom,0.016,WCL,599.0,0.1,598.0,599.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,146
7,bottom,0.016,ABS,644.0,0.4,642.0,646.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,146
7,bottom,0.016,DIFF,965.0,0.1,957.0,967.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,146
7,bottom,0.016,Min-Max,472.0,1.3,466.0,473.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,146
7,random,0.233,WCL,702.0,17.4,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,148
7,random,0.233,ABS,679.0,6.0,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,148
7,random,0.233,DIFF,996.0,3.4,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,148
7,random,0.233,Min-Max,601.0,29.0,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,148
8,top,0.586,WCL,1916.0,220.6,1729.0,2195.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,149
8,top,0.586,ABS,1083.0,69.0,926.0,1198.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,149
8,top,0.586,DIFF,1348.0,39.9,1255.0,1562.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,149
