D_m,f,method,median_m,effect_pct,draw_min_m,draw_max_m,draws,source_file,source_line,range_line,precision
500,21,Min-Max,527.0,13.2,440.0,622.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,84,85,original printed whole-metre range; effect at one decimal
500,29,WCL,681.0,14.0,510.0,903.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,86,87,original printed whole-metre range; effect at one decimal
500,29,ABS,715.0,11.6,513.0,1006.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,86,87,original printed whole-metre range; effect at one decimal
500,29,DIFF,1116.0,15.8,931.0,1441.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,86,87,original printed whole-metre range; effect at one decimal
500,29,Min-Max,540.0,15.9,447.0,650.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,86,87,original printed whole-metre range; effect at one decimal
1000,1,WCL,598.0,0.0,590.0,616.0,8,results/base_logs/diffrepair_e1_d1000.txt,76,77,original printed whole-metre range; effect at one decimal
1000,1,ABS,642.0,0.1,616.0,724.0,8,results/base_logs/diffrepair_e1_d1000.txt,76,77,original printed whole-metre range; effect at one decimal
1000,1,DIFF,965.0,0.1,950.0,1025.0,8,results/base_logs/diffrepair_e1_d1000.txt,76,77,original printed whole-metre range; effect at one decimal
1000,1,Min-Max,466.0,0.0,464.0,506.0,8,results/base_logs/diffrepair_e1_d1000.txt,76,77,original printed whole-metre range; effect at one decimal
1000,3,WCL,621.0,3.8,597.0,784.0,8,results/base_logs/diffrepair_e1_d1000.txt,78,79,original printed whole-metre range; effect at one decimal
1000,3,ABS,666.0,3.8,643.0,751.0,8,results/base_logs/diffrepair_e1_d1000.txt,78,79,original printed whole-metre range; effect at one decimal
1000,3,DIFF,1003.0,4.1,942.0,1517.0,8,results/base_logs/diffrepair_e1_d1000.txt,78,79,original printed whole-metre range; effect at one decimal
1000,3,Min-Max,479.0,2.9,465.0,609.0,8,results/base_logs/diffrepair_e1_d1000.txt,78,79,original printed whole-metre range; effect at one decimal
1000,7,WCL,635.0,6.3,595.0,810.0,8,results/base_logs/diffrepair_e1_d1000.txt,80,81,original printed whole-metre range; effect at one decimal
1000,7,ABS,689.0,7.4,624.0,802.0,8,results/base_logs/diffrepair_e1_d1000.txt,80,81,original printed whole-metre range; effect at one decimal
1000,7,DIFF,1055.0,9.5,953.0,1531.0,8,results/base_logs/diffrepair_e1_d1000.txt,80,81,original printed whole-metre range; effect at one decimal
1000,7,Min-Max,500.0,7.2,472.0,683.0,8,results/base_logs/diffrepair_e1_d1000.txt,80,81,original printed whole-metre range; effect at one decimal
1000,14,WCL,733.0,22.6,555.0,1066.0,8,results/base_logs/diffrepair_e1_d1000.txt,82,83,original printed whole-metre range; effect at one decimal
1000,14,ABS,705.0,10.0,602.0,767.0,8,results/base_logs/diffrepair_e1_d1000.txt,82,83,original printed whole-metre range; effect at one decimal
1000,14,DIFF,978.0,1.4,928.0,1561.0,8,results/base_logs/diffrepair_e1_d1000.txt,82,83,original printed whole-metre range; effect at one decimal
1000,14,Min-Max,537.0,15.2,482.0,642.0,8,results/base_logs/diffrepair_e1_d1000.txt,82,83,original printed whole-metre range; effect at one decimal
1000,21,WCL,828.0,38.5,732.0,974.0,8,results/base_logs/diffrepair_e1_d1000.txt,84,85,original printed whole-metre range; effect at one decimal
1000,21,ABS,732.0,14.2,667.0,902.0,8,results/base_logs/diffrepair_e1_d1000.txt,84,85,original printed whole-metre range; effect at one decimal
1000,21,DIFF,1324.0,37.3,1059.0,1507.0,8,results/base_logs/diffrepair_e1_d1000.txt,84,85,original printed whole-metre range; effect at one decimal
1000,21,Min-Max,619.0,32.8,571.0,690.0,8,results/base_logs/diffrepair_e1_d1000.txt,84,85,original printed whole-metre range; effect at one decimal
1000,29,WCL,868.0,45.3,723.0,1196.0,8,results/base_logs/diffrepair_e1_d1000.txt,86,87,original printed whole-metre range; effect at one decimal
1000,29,ABS,898.0,40.1,708.0,1219.0,8,results/base_logs/diffrepair_e1_d1000.txt,86,87,original printed whole-metre range; effect at one decimal
1000,29,DIFF,1386.0,43.8,1089.0,1785.0,8,results/base_logs/diffrepair_e1_d1000.txt,86,87,original printed whole-metre range; effect at one decimal
1000,29,Min-Max,687.0,47.4,536.0,849.0,8,results/base_logs/diffrepair_e1_d1000.txt,86,87,original printed whole-metre range; effect at one decimal
2500,1,WCL,598.0,0.1,598.0,634.0,8,results/base_logs/diffrepair_e1_d2500.txt,76,77,original printed whole-metre range; effect at one decimal
2500,1,ABS,642.0,0.2,634.0,660.0,8,results/base_logs/diffrepair_e1_d2500.txt,76,77,original printed whole-metre range; effect at one decimal
2500,1,DIFF,964.0,0.0,893.0,1076.0,8,results/base_logs/diffrepair_e1_d2500.txt,76,77,original printed whole-metre range; effect at one decimal
2500,1,Min-Max,467.0,0.2,464.0,513.0,8,results/base_logs/diffrepair_e1_d2500.txt,76,77,original printed whole-metre range; effect at one decimal
2500,3,WCL,622.0,4.1,597.0,893.0,8,results/base_logs/diffrepair_e1_d2500.txt,78,79,original printed whole-metre range; effect at one decimal
2500,3,ABS,670.0,4.5,643.0,756.0,8,results/base_logs/diffrepair_e1_d2500.txt,78,79,original printed whole-metre range; effect at one decimal
2500,3,DIFF,991.0,2.8,910.0,1375.0,8,results/base_logs/diffrepair_e1_d2500.txt,78,79,original printed whole-metre range; effect at one decimal
2500,3,Min-Max,486.0,4.2,468.0,685.0,8,results/base_logs/diffrepair_e1_d2500.txt,78,79,original printed whole-metre range; effect at one decimal
