case_id,bin_center,tolerance,accepted_index,proposal_index,k,exact_S,selected_reception_numerator,denominator,receiver_ids,displacement_m,direction_seed,direction_realizations_per_subset,subset_rng_seed,method,reference_m,median_error_m,change_pct,raw_npz,raw_sha256,provenance
bin10_subset4,0.1,0.025,4,56,3,0.11189138576779026,1195,10680,19;25;32,5000,6704,1,6606,WCL,597.6726773741443,630.1401455117957,5.432315942615308,raw/bin10_subset4.npz,6ed42e814ac3630fdc6831f0f0b04d9bdcad5e65c36f3e7bb4e6551e27e73dc6,RC5 same-design reporting recovery; assistant runtime
bin10_subset4,0.1,0.025,4,56,3,0.11189138576779026,1195,10680,19;25;32,5000,6704,1,6606,ABS,641.0128583782526,673.7272693987669,5.103549888730929,raw/bin10_subset4.npz,6ed42e814ac3630fdc6831f0f0b04d9bdcad5e65c36f3e7bb4e6551e27e73dc6,RC5 same-design reporting recovery; assistant runtime
bin10_subset4,0.1,0.025,4,56,3,0.11189138576779026,1195,10680,19;25;32,5000,6704,1,6606,DIFF,963.9527294582572,913.8604853438391,-5.1965457001786834,raw/bin10_subset4.npz,6ed42e814ac3630fdc6831f0f0b04d9bdcad5e65c36f3e7bb4e6551e27e73dc6,RC5 same-design reporting recovery; assistant runtime
bin10_subset4,0.1,0.025,4,56,3,0.11189138576779026,1195,10680,19;25;32,5000,6704,1,6606,Min-Max,466.0055266886784,551.0803657748211,18.256186721789273,raw/bin10_subset4.npz,6ed42e814ac3630fdc6831f0f0b04d9bdcad5e65c36f3e7bb4e6551e27e73dc6,RC5 same-design reporting recovery; assistant runtime
bin10_subset5,0.1,0.025,5,64,4,0.1150749063670412,1229,10680,7;35;50;69,5000,6705,1,6606,WCL,597.6726773741443,601.1722211119607,0.585528479098538,raw/bin10_subset5.npz,2e4fe37f1b405a2bccc172b62bba8a7109a91fe238f9d9bf7548eb2e22db8998,RC5 same-design reporting recovery; assistant runtime
bin10_subset5,0.1,0.025,5,64,4,0.1150749063670412,1229,10680,7;35;50;69,5000,6705,1,6606,ABS,641.0128583782526,713.7388859703419,11.345486543918076,raw/bin10_subset5.npz,2e4fe37f1b405a2bccc172b62bba8a7109a91fe238f9d9bf7548eb2e22db8998,RC5 same-design reporting recovery; assistant runtime
bin10_subset5,0.1,0.025,5,64,4,0.1150749063670412,1229,10680,7;35;50;69,5000,6705,1,6606,DIFF,963.9527294582572,917.5625204229983,-4.812498332914129,raw/bin10_subset5.npz,2e4fe37f1b405a2bccc172b62bba8a7109a91fe238f9d9bf7548eb2e22db8998,RC5 same-design reporting recovery; assistant runtime
bin10_subset5,0.1,0.025,5,64,4,0.1150749063670412,1229,10680,7;35;50;69,5000,6705,1,6606,Min-Max,466.0055266886784,622.9509460964947,33.67887512472913,raw/bin10_subset5.npz,2e4fe37f1b405a2bccc172b62bba8a7109a91fe238f9d9bf7548eb2e22db8998,RC5 same-design reporting recovery; assistant runtime
bin10_subset6,0.1,0.025,6,72,4,0.0955992509363296,1021,10680,17;32;41;71,5000,6706,1,6606,WCL,597.6726773741443,647.3558039984766,8.312765248465688,raw/bin10_subset6.npz,e2de4b724a8ebd133fb95e819db23bd15115e79170e09eb00fcd3da285a9f038,RC5 same-design reporting recovery; assistant runtime
bin10_subset6,0.1,0.025,6,72,4,0.0955992509363296,1021,10680,17;32;41;71,5000,6706,1,6606,ABS,641.0128583782526,665.319352059005,3.7918886279827912,raw/bin10_subset6.npz,e2de4b724a8ebd133fb95e819db23bd15115e79170e09eb00fcd3da285a9f038,RC5 same-design reporting recovery; assistant runtime
