substrate,n,method,reference_m,one_effect_pct,all_effect_pct,dense_minus_sparse_pp,top6_effect_pct,top7_effect_pct,top7_minus_top6_pp,legacy_rotation_effect_pct,legacy_iso8_effect_pct,legacy_rotation_minus_iso_pp,opcenter_rotation_effect_pct,opcenter_exact_iso8_effect_pct,opcenter_rotation_minus_iso_pp
recovered29,3.5,WCL,584.3011457663713,0.5386331572610162,842.3653599228429,841.826726765582,48.13529666917792,243.10567185953798,194.97037519036007,44.34551810621492,16.919618013066856,27.425900093148062,9.473148766544355,3.2116937321178165,6.261455034426539
recovered29,3.5,ABS,660.816332859999,0.29815593524347817,406.14574164492996,405.8475857096865,47.89182905063036,82.41166920542413,34.51984015479377,27.95309175232249,4.781115042838291,23.1719767094842,8.32696899351119,2.3504219581197914,5.976547035391399
recovered29,3.5,DIFF,965.3007810520332,-0.47523117096244416,282.37229627618353,282.847527447146,22.804920960288747,66.95851904569133,44.153598085402585,15.83908039974406,21.92638321121959,-6.087302811475531,9.797399564377729,4.111085214853754,5.6863143495239745
recovered29,3.5,Min-Max,489.8414146431944,0.24264333919322045,610.3216801999074,610.0790368607142,110.92240232584868,274.6073023007116,163.6848999748629,28.080279585573155,9.589662204997731,18.490617380575422,6.186153648694936,1.9243464840413247,4.261807164653611
recovered29,4.7,WCL,597.6726773741443,0.0664316556054372,845.216357207848,845.1499255522425,49.52140436713529,233.37659527870534,183.85519091157005,49.79159578817146,19.883297814953462,29.908297973218,12.362642570504104,3.681464611127972,8.681177959376132
recovered29,4.7,ABS,641.0128583782526,0.601104074547353,369.8212908293867,369.22018675483935,38.17262434954556,65.01301918598024,26.840394836434683,26.614481561634726,4.3371202267950615,22.277361334839664,8.255885999192072,3.219934302272948,5.035951696919124
recovered29,4.7,DIFF,963.9527294582572,-0.7650745461522849,242.8941061107633,243.65918065691557,13.402702454428585,48.8174499560389,35.414747501610314,11.82751126178722,24.831789680113793,-13.004278418326573,11.811355037463938,4.566255571814935,7.2450994656490035
recovered29,4.7,Min-Max,466.0055266886784,0.13692732089122825,582.8965923551436,582.7596650342524,97.97667888470046,243.33270709192306,145.3560282072226,33.73980788551128,8.276332528110867,25.463475357400416,6.508122619947293,3.017868251346929,3.4902543686003638
recovered29,6.0,WCL,611.0230442357513,0.2420902682896023,857.0613066108804,856.8192163425907,49.20898033901378,239.94268859710326,190.73370825808948,47.92280242921681,22.111434899735297,25.81136752948151,13.266278058613983,5.7837014243734535,7.482576634240529
recovered29,6.0,ABS,640.8406079160816,0.5779167351625908,347.8799260444357,347.3020093092731,29.083423414631067,45.805050514645984,16.721627100014917,25.094592139845478,0.586965494657266,24.50762664518821,7.086525437414547,1.8138636083747786,5.272661829039769
recovered29,6.0,DIFF,939.4577557683397,-0.2695439631267549,233.2862738400443,233.55581780317104,9.830629680560136,37.18526357171309,27.35463389115295,14.863717578512977,25.154584860397005,-10.290867281884028,15.52599830600093,3.1775751995981043,12.348423106402826
recovered29,6.0,Min-Max,462.1034699722252,0.02991895390418487,541.9363008460299,541.9063818921258,83.83689520832485,220.66802925093222,136.83113404260737,34.48914867028878,6.513027021350562,27.976121648938214,7.962904629622562,2.8349978036291037,5.127906825993458
official32_minus71,3.5,WCL,561.0381783579237,1.7832675107806428,945.828691681969,944.0454241711883,23.674854303583967,132.99805075817565,109.32319645459168,9.043595531212704,10.65001445721008,-1.6064189259973762,7.399696629216961,-0.6392409436917074,8.038937572908669
official32_minus71,3.5,ABS,545.5232282060326,0.4798104991087686,473.80280118489264,473.32299068578385,18.930492419358274,81.27557659965275,62.34508418029448,10.954961340376581,19.718977262224854,-8.764015921848273,7.048342996718574,-0.26982167020317,7.318164666921744
official32_minus71,3.5,DIFF,982.866888309844,-4.151936769120628,258.99042940171967,263.1423661708403,-8.602197469357504,39.30664903258693,47.90884650194444,13.092957652916963,23.58202189639953,-10.489064243482568,7.5514999446286755,2.275818997738039,5.2756809468906365
