substrate,width_m,cells,cell_n_min,cell_n_median,cell_n_max,active_exhaustion_cells,active_cell_fraction,newly_exhausted_n,top1_cell_share_of_new,top3_cell_share_of_new,top5_cell_share_of_new,prob_zero_active_approx,WCL_positive_cells,WCL_positive_cell_fraction,WCL_message_fraction_in_positive_cells,WCL_global_difference_m,WCL_loo_min_m,WCL_loo_max_m,ABS_positive_cells,ABS_positive_cell_fraction,ABS_message_fraction_in_positive_cells,ABS_global_difference_m,ABS_loo_min_m,ABS_loo_max_m,DIFF_positive_cells,DIFF_positive_cell_fraction,DIFF_message_fraction_in_positive_cells,DIFF_global_difference_m,DIFF_loo_min_m,DIFF_loo_max_m,Min-Max_positive_cells,Min-Max_positive_cell_fraction,Min-Max_message_fraction_in_positive_cells,Min-Max_global_difference_m,Min-Max_loo_min_m,Min-Max_loo_max_m
recovered29,500,106,1,6.0,606,2,0.018867924528301886,355,0.9971830985915493,1.0,1.0,0.13277375799925642,46,0.4339622641509434,0.4811849479583667,1411.9231919391555,21.280163511508363,1515.824571853604,43,0.4056603773584906,0.5940752602081665,171.4507502129295,-18.913924258846464,200.02592189018674,44,0.41509433962264153,0.5648518815052042,351.87781209335844,-12.47440083218271,394.9428222705792,45,0.42452830188679247,0.6625300240192153,774.4935137635118,45.86900848825735,838.1885990389143
recovered29,1000,39,1,14.0,606,2,0.05128205128205128,355,0.9971830985915493,1.0,1.0,0.12833572387591022,15,0.38461538461538464,0.4607686148919135,1411.9231919391555,21.280163511508363,1652.4416724408861,19,0.48717948717948717,0.6785428342674139,171.4507502129295,-18.913924258846464,235.49830042573012,17,0.4358974358974359,0.5164131305044035,351.87781209335844,-12.47440083218271,445.75508511657927,17,0.4358974358974359,0.7962369895916733,774.4935137635118,45.86900848825735,956.2771379745259
recovered29,2000,12,9,90.0,746,1,0.08333333333333333,355,1.0,1.0,1.0,0.3519956280141369,4,0.3333333333333333,0.5960768614891914,1411.9231919391555,-12.189704156011658,1701.6712657885098,4,0.3333333333333333,0.610088070456365,171.4507502129295,-12.111933207708944,253.21564139804525,6,0.5,0.6401120896717374,351.87781209335844,-27.716249758406775,475.55026557608653,5,0.4166666666666667,0.6805444355484388,774.4935137635118,61.14380280454316,1010.1953207739161
official32_minus71,500,106,1,6.0,557,2,0.018867924528301886,327,0.9969418960244648,1.0,1.0,0.13277375799925642,42,0.39622641509433965,0.5840672538030425,687.0083689754781,13.189284859978216,776.7998121868875,44,0.41509433962264153,0.6653322658126501,276.73748219053505,8.145083523332232,291.5738366620526,56,0.5283018867924528,0.6817453963170537,399.1517188509084,36.62207385200645,419.52309980227824,36,0.33962264150943394,0.5448358686949559,461.21748952575103,27.628419121759293,511.6274007497325
official32_minus71,1000,41,1,14.0,557,2,0.04878048780487805,327,0.9969418960244648,1.0,1.0,0.12867991417692748,18,0.43902439024390244,0.5856685348278623,687.0083689754781,13.189284859978216,934.6197778511959,19,0.4634146341463415,0.7578062449959968,276.73748219053505,8.145083523332232,302.521083805824,26,0.6341463414634146,0.6549239391513211,399.1517188509084,36.62207385200645,443.0075587041049,9,0.21951219512195122,0.4403522818254604,461.21748952575103,27.628419121759293,596.8685448830879
official32_minus71,2000,14,1,97.0,680,1,0.07142857142857142,327,1.0,1.0,1.0,0.35433531021985903,9,0.6428571428571429,0.7149719775820657,687.0083689754781,0.6435793235237952,975.1677121124326,7,0.5,0.844675740592474,276.73748219053505,2.9522946540635076,370.8282458253359,7,0.5,0.5908726981585268,399.1517188509084,30.36316177832782,542.4406557969827,7,0.5,0.9087269815852682,461.21748952575103,34.411931859847755,652.4721686270392
