substrate,map_n,D_m,f,fraction_pct,method,reference_m,median_m,effect_pct,draw_min_m,draw_max_m,draws
official26_common_minus71,26,1000,7,26.923076923076923,WCL,577.0037144996624,648.9452600043089,12.468125195178214,567.4988382260785,815.5284373392491,8
official26_common_minus71,26,1000,7,26.923076923076923,ABS,549.1908372931518,601.5015590117557,9.52505361823453,519.647671595681,651.8411341933767,8
official26_common_minus71,26,1000,7,26.923076923076923,DIFF,1048.1528987927818,1253.9926528922006,19.638332760086463,1028.5141271590505,1573.6964394338006,8
official26_common_minus71,26,1000,7,26.923076923076923,Min-Max,480.5742969155297,518.2885954981,7.847756075310724,473.4059618780433,583.3627338123003,8
official26_common_minus71,26,10000,7,26.923076923076923,WCL,577.0037144996624,636.8033773533882,10.36382632399169,591.8883769138595,729.2278459344677,8
official26_common_minus71,26,10000,7,26.923076923076923,ABS,549.1908372931518,609.9839892625323,11.06958598745335,560.8384497026759,741.5786950326041,8
official26_common_minus71,26,10000,7,26.923076923076923,DIFF,1048.1528987927818,838.5446472130602,-19.997869759377615,734.9293709273287,984.2417615292418,8
official26_common_minus71,26,10000,7,26.923076923076923,Min-Max,480.5742969155297,676.47584586058,40.76405047094804,567.1555571768445,767.7008361403407,8
official27_common,27,1000,7,25.925925925925927,WCL,550.147955381421,592.9892317580222,7.787228137001649,530.4441267035925,659.2592412903805,8
official27_common,27,1000,7,25.925925925925927,ABS,560.2566653459476,582.7723461691288,4.018815342299988,527.7485214706877,643.5552612735095,8
official27_common,27,1000,7,25.925925925925927,DIFF,1104.027596650792,1188.1080238603456,7.615790353848243,989.2993379257065,1615.2685788043011,8
official27_common,27,1000,7,25.925925925925927,Min-Max,442.65508810892277,468.6598613844344,5.874725937661135,410.2734616745871,517.5335381882483,8
official27_common,27,10000,7,25.925925925925927,WCL,550.147955381421,605.2856886079092,10.022346295599858,546.6753385440836,699.0997214345248,8
official27_common,27,10000,7,25.925925925925927,ABS,560.2566653459476,611.0401301340086,9.064321395748713,560.5029077830462,741.4772265866332,8
official27_common,27,10000,7,25.925925925925927,DIFF,1104.027596650792,813.1242811215939,-26.34927934878533,748.6205280706195,982.874829428755,8
official27_common,27,10000,7,25.925925925925927,Min-Max,442.65508810892277,638.0448683059032,44.140412128031706,519.6774284046394,776.6306013481756,8
official32_minus71,32,1000,7,21.875,WCL,593.7425223089783,639.2661566777286,7.667234981202883,585.0699617320637,754.973455438559,8
official32_minus71,32,1000,7,21.875,ABS,555.6165186828817,579.3639528783569,4.27406914606674,564.2825004595919,685.3948428894646,8
official32_minus71,32,1000,7,21.875,DIFF,1082.7111969409166,1115.9258967570454,3.0677340282407126,1056.2534765641099,1554.923171095266,8
official32_minus71,32,1000,7,21.875,Min-Max,478.881435195019,502.3506991483001,4.900850654969231,481.15155737112514,585.4458444174359,8
official32_minus71,32,10000,7,21.875,WCL,593.7425223089783,680.9610508050314,14.689621379461403,620.469939547,802.178425647633,8
official32_minus71,32,10000,7,21.875,ABS,555.6165186828817,628.8310173290107,13.177163778299427,589.5586826222163,647.5128885706902,8
official32_minus71,32,10000,7,21.875,DIFF,1082.7111969409166,893.7577353500078,-17.45188025438144,790.2302802624763,977.8439080249735,8
official32_minus71,32,10000,7,21.875,Min-Max,478.881435195019,645.222183012258,34.7352675614787,541.3539097372166,899.7853964678291,8
official33_published,33,1000,7,21.21212121212121,WCL,584.7477072723235,627.5734439950302,7.323797287290986,530.1463832560639,751.5378080108225,8
official33_published,33,1000,7,21.21212121212121,ABS,527.7528095639876,545.7532353557473,3.41076834941552,524.80325542745,639.4919358167793,8
official33_published,33,1000,7,21.21212121212121,DIFF,1011.5353965144922,1109.4321013354643,9.678030562084196,1007.5871899329838,1613.7528832641785,8
official33_published,33,1000,7,21.21212121212121,Min-Max,467.635802988949,496.0910310179941,6.084912200299927,456.37874822689787,546.0608440015127,8
official33_published,33,10000,7,21.21212121212121,WCL,584.7477072723235,671.0296718912552,14.755417344244373,584.9769874283049,762.5709344086763,8
official33_published,33,10000,7,21.21212121212121,ABS,527.7528095639876,584.5106567111573,10.7546271888275,534.9569268174953,644.108629741506,8
