substrate,map_n,D_m,f,fraction_pct,method,reference_m,median_m,effect_pct,draw_min_m,draw_max_m,draws
recovered29,29,1000,7,24.137931034482758,WCL,597.6726773737064,635.3487468210661,6.303796521687413,595.3727713831604,809.5365938722035,8
recovered29,29,1000,7,24.137931034482758,ABS,641.0128583786435,688.5975464495068,7.423359367739116,623.6323462751891,801.6052175748482,8
recovered29,29,1000,7,24.137931034482758,DIFF,963.9527294587203,1055.1024736203335,9.455831326168417,953.1631447672901,1531.4932782555557,8
recovered29,29,1000,7,24.137931034482758,Min-Max,466.00552668865595,499.7755656555688,7.246703533083856,472.43852683569435,682.8762502534686,8
recovered29,29,10000,7,24.137931034482758,WCL,597.6726773737064,705.8116263857701,18.09333990090494,598.8529006035549,1474.8230286146786,8
recovered29,29,10000,7,24.137931034482758,ABS,641.0128583786435,705.1407249401524,10.004146675577111,659.6862981113939,923.5475464807474,8
recovered29,29,10000,7,24.137931034482758,DIFF,963.9527294587203,947.7917423778896,-1.676533152191548,840.6107882661281,1299.7969946022456,8
recovered29,29,10000,7,24.137931034482758,Min-Max,466.00552668865595,702.6664901152606,50.78501216675929,502.45980015218373,1120.647804457496,8
official32_minus71,32,1000,7,21.875,WCL,593.7425223082155,639.2661566784136,7.667234981456578,585.0699617320637,754.9734554390573,8
official32_minus71,32,1000,7,21.875,ABS,555.6165186830742,579.3639528786123,4.274069146076575,564.2825004596522,685.3948428902359,8
official32_minus71,32,1000,7,21.875,DIFF,1082.7111969409727,1115.9258967566261,3.0677340281966416,1056.2534765645787,1554.9231710950226,8
official32_minus71,32,1000,7,21.875,Min-Max,478.88143519512585,502.3506991483001,4.900850654945822,481.15155737107045,585.4458444175696,8
official32_minus71,32,10000,7,21.875,WCL,593.7425223082155,680.9610508052311,14.689621379642396,620.4699395479507,802.1784256471586,8
official32_minus71,32,10000,7,21.875,ABS,555.6165186830742,628.8310173288379,13.17716377822912,589.5586826222644,647.5128885706902,8
official32_minus71,32,10000,7,21.875,DIFF,1082.7111969409727,893.7577353497519,-17.451880254409357,790.2302802628908,977.843908025148,8
official32_minus71,32,10000,7,21.875,Min-Max,478.88143519512585,645.222183012278,34.73526756145281,541.3539097372166,899.7853964678291,8
official33_published,33,1000,7,21.21212121212121,WCL,584.7477072723547,627.5734439947425,7.323797287236079,530.1463832558352,751.5378080114979,8
official33_published,33,1000,7,21.21212121212121,ABS,527.7528095638735,545.753235355413,3.410768349374553,524.8032554264498,639.4919358167793,8
official33_published,33,1000,7,21.21212121212121,DIFF,1011.5353965136167,1109.4321013358547,9.67803056221772,1007.5871899329527,1613.7528832642943,8
official33_published,33,1000,7,21.21212121212121,Min-Max,467.635802988949,496.0910310179941,6.084912200299927,456.37874822689787,546.0608440012381,8
official33_published,33,10000,7,21.21212121212121,WCL,584.7477072723547,671.0296718912246,14.755417344233011,584.9769874283049,762.5709344086763,8
official33_published,33,10000,7,21.21212121212121,ABS,527.7528095638735,584.5106567104315,10.754627188713933,534.9569268182976,644.108629741506,8
official33_published,33,10000,7,21.21212121212121,DIFF,1011.5353965136167,813.4203435728898,-19.585577887195562,747.0545339461954,950.086388490125,8
official33_published,33,10000,7,21.21212121212121,Min-Max,467.635802988949,579.3750789528881,23.89450834383176,520.85051074687,826.9043331787013,8
official33_repaired71,33,1000,7,21.21212121212121,WCL,579.9529674978758,623.8286782174146,7.565391191777893,529.0431214514989,747.6021165199284,8
official33_repaired71,33,1000,7,21.21212121212121,ABS,527.516800684027,543.5525021687977,3.039846591421795,523.6623896427274,638.3363846403312,8
official33_repaired71,33,1000,7,21.21212121212121,DIFF,1012.5701806878126,1113.3323898806202,9.95113337471211,1007.0861461980845,1607.0934296203698,8
official33_repaired71,33,1000,7,21.21212121212121,Min-Max,465.808146845612,495.63368010415013,6.402965139298767,456.2637075355484,545.9344812010388,8
official33_repaired71,33,10000,7,21.21212121212121,WCL,579.9529674978758,668.8270113373476,15.324353666626827,582.2491358895891,758.7681417829467,8
official33_repaired71,33,10000,7,21.21212121212121,ABS,527.516800684027,583.583905782918,10.628496576069095,532.5873914836142,643.490040177913,8
official33_repaired71,33,10000,7,21.21212121212121,DIFF,1012.5701806878126,813.265040482431,-19.683093972804805,746.7338780627789,949.7703509381037,8
official33_repaired71,33,10000,7,21.21212121212121,Min-Max,465.808146845612,578.3835532527028,24.167762451008162,519.2717841158191,822.1295615282183,8
recovered27_common,27,1000,7,25.925925925925927,WCL,593.2183143536402,612.8880025505204,3.3157587554106343,587.3579112944899,808.9310532057416,8
recovered27_common,27,1000,7,25.925925925925927,ABS,639.9899678146855,705.6795171770781,10.264152981443843,629.6865396318736,812.3795216315539,8
recovered27_common,27,1000,7,25.925925925925927,DIFF,989.6227832833138,1054.701621186702,6.576125671589058,932.3652626742762,1584.759168312391,8
recovered27_common,27,1000,7,25.925925925925927,Min-Max,469.8231520356294,504.90101696874586,7.466184835960641,447.2620236572552,673.0366302024922,8
recovered27_common,27,10000,7,25.925925925925927,WCL,593.2183143536402,711.0305400024615,19.85984296138723,598.4417908135731,1437.8986637229473,8
recovered27_common,27,10000,7,25.925925925925927,ABS,639.9899678146855,760.4585955361307,18.82351814557316,644.700228873887,923.132131181666,8
recovered27_common,27,10000,7,25.925925925925927,DIFF,989.6227832833138,960.642158016549,-2.9284517046600786,826.1586227709336,1262.743032815443,8
recovered27_common,27,10000,7,25.925925925925927,Min-Max,469.8231520356294,746.3069983774417,58.84849334135091,510.4660356416167,1178.992444402685,8
official27_common,27,1000,7,25.925925925925927,WCL,550.147955381421,592.989231757841,7.787228136968707,530.4441267031675,659.2592412894418,8
official27_common,27,1000,7,25.925925925925927,ABS,560.2566653454028,582.7723461686485,4.018815342315402,527.748521470651,643.5552612739564,8
official27_common,27,1000,7,25.925925925925927,DIFF,1104.02759665123,1188.1080238601958,7.615790353791983,989.2993379261252,1615.2685788049143,8
official27_common,27,1000,7,25.925925925925927,Min-Max,442.6550881089566,468.6598613842125,5.874725937602913,410.2734616745407,517.5335381882483,8
official27_common,27,10000,7,25.925925925925927,WCL,550.147955381421,605.2856886082386,10.022346295659743,546.6753385433319,699.099721434136,8
official27_common,27,10000,7,25.925925925925927,ABS,560.2566653454028,611.0401301336375,9.064321395788534,560.5029077829261,741.4772265865327,8
official27_common,27,10000,7,25.925925925925927,DIFF,1104.02759665123,813.1242811215111,-26.34927934882204,748.6205280706195,982.874829428755,8
official27_common,27,10000,7,25.925925925925927,Min-Max,442.6550881089566,638.0448683056419,44.140412127961675,519.6774284042153,776.6306013472314,8
recovered26_common_minus71,26,1000,7,26.923076923076923,WCL,613.7384027086815,650.3330611885474,5.962582481128523,613.7384027086815,867.1889360160708,8
recovered26_common_minus71,26,1000,7,26.923076923076923,ABS,644.4770106056751,700.4934740023625,8.691770610101907,624.76013241398,779.5586099337067,8
recovered26_common_minus71,26,1000,7,26.923076923076923,DIFF,1001.075109489035,1049.7704443297757,4.864303824874406,947.1270886145667,1554.0537348577263,8
recovered26_common_minus71,26,1000,7,26.923076923076923,Min-Max,509.6405932843563,571.6867790192539,12.17449837247925,505.1581293520102,688.4825472801759,8
recovered26_common_minus71,26,10000,7,26.923076923076923,WCL,613.7384027086815,764.9962339248806,24.64532617620727,633.1915431607384,1407.8206169887235,8
recovered26_common_minus71,26,10000,7,26.923076923076923,ABS,644.4770106056751,733.3079248167942,13.783410850859738,647.1873386667316,912.2731298343867,8
recovered26_common_minus71,26,10000,7,26.923076923076923,DIFF,1001.075109489035,962.4268896638451,-3.860671338129313,814.9607295009489,1297.321041333707,8
recovered26_common_minus71,26,10000,7,26.923076923076923,Min-Max,509.6405932843563,740.2308871176969,45.245668589174095,559.0012148593146,1175.3639580998633,8
official26_common_minus71,26,1000,7,26.923076923076923,WCL,577.0037145005424,648.9452600037584,12.468125194911275,567.4988382255332,815.5284373388916,8
official26_common_minus71,26,1000,7,26.923076923076923,ABS,549.1908372931518,601.5015590120468,9.525053618287524,519.6476715956996,651.8411341935836,8
official26_common_minus71,26,1000,7,26.923076923076923,DIFF,1048.1528987926704,1253.9926528925423,19.638332760131785,1028.5141271590928,1573.6964394346849,8
official26_common_minus71,26,1000,7,26.923076923076923,Min-Max,480.5742969155297,518.2885954981327,7.8477560753175375,473.4059618780433,583.3627338122346,8
official26_common_minus71,26,10000,7,26.923076923076923,WCL,577.0037145005424,636.8033773533498,10.363826323816703,591.8883769135691,729.2278459351355,8
official26_common_minus71,26,10000,7,26.923076923076923,ABS,549.1908372931518,609.9839892624937,11.069585987446311,560.8384497030411,741.5786950328422,8
official26_common_minus71,26,10000,7,26.923076923076923,DIFF,1048.1528987926704,838.5446472132228,-19.997869759353602,734.9293709273186,984.2417615296614,8
official26_common_minus71,26,10000,7,26.923076923076923,Min-Max,480.5742969155297,676.4758458604033,40.76405047091128,567.1555571763853,767.7008361403407,8
