population=2498 receivers=29 max_gws=10 tau=3.0
conditions=483 total_condition_message_hits_lt2=19695
max_condition_lt2_pct=11.128903
verdict=OPEN: fallback invoked; regenerate affected DIFF outputs

condition,max_gws,messages,zero,one,lt2,lt2_pct,min,median,max
E1_D500_f21_draw2,10,2498,17,17,34,1.361089,0,5.0,44
E1_D500_f21_draw3,10,2498,14,23,37,1.481185,0,5.0,44
E1_D500_f21_draw4,10,2498,17,15,32,1.281025,0,5.0,45
E1_D500_f21_draw5,10,2498,31,22,53,2.121697,0,5.0,43
E1_D500_f21_draw6,10,2498,12,8,20,0.800641,0,5.0,44
E1_D500_f21_draw7,10,2498,12,6,18,0.720576,0,5.0,45
E1_D500_f29_draw0,10,2498,15,16,31,1.240993,0,5.0,44
E1_D500_f29_draw1,10,2498,5,10,15,0.600480,0,5.0,44
E1_D500_f29_draw2,10,2498,10,11,21,0.840673,0,5.0,43
E1_D500_f29_draw3,10,2498,14,8,22,0.880705,0,5.0,44
E1_D500_f29_draw4,10,2498,3,6,9,0.360288,0,5.0,45
E1_D500_f29_draw5,10,2498,20,15,35,1.401121,0,5.0,43
E1_D500_f29_draw6,10,2498,12,13,25,1.000801,0,5.0,45
E1_D500_f29_draw7,10,2498,24,27,51,2.041633,0,5.0,43
E1_D1000_f1_draw0,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f1_draw1,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f1_draw2,10,2498,8,4,12,0.480384,0,5.0,44
E1_D1000_f1_draw3,10,2498,14,13,27,1.080865,0,5.0,44
E1_D1000_f1_draw4,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f1_draw5,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f1_draw6,10,2498,12,17,29,1.160929,0,5.0,44
E1_D1000_f1_draw7,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f3_draw0,10,2498,20,15,35,1.401121,0,5.0,44
E1_D1000_f3_draw1,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f3_draw2,10,2498,15,13,28,1.120897,0,5.0,44
E1_D1000_f3_draw3,10,2498,14,13,27,1.080865,0,5.0,44
E1_D1000_f3_draw4,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f3_draw5,10,2498,11,11,22,0.880705,0,5.0,44
E1_D1000_f3_draw6,10,2498,9,6,15,0.600480,0,5.0,44
E1_D1000_f3_draw7,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f7_draw0,10,2498,19,15,34,1.361089,0,5.0,44
E1_D1000_f7_draw1,10,2498,18,13,31,1.240993,0,5.0,44
E1_D1000_f7_draw2,10,2498,9,14,23,0.920737,0,5.0,44
E1_D1000_f7_draw3,10,2498,14,16,30,1.200961,0,5.0,44
E1_D1000_f7_draw4,10,2498,9,12,21,0.840673,0,5.0,44
E1_D1000_f7_draw5,10,2498,7,4,11,0.440352,0,5.0,44
E1_D1000_f7_draw6,10,2498,6,9,15,0.600480,0,5.0,44
