eval_messages=2498 calibration_messages=16612 roster=29 max_gws=10
pair,spearman,top7_overlap,top7_jaccard
evaluation vs calibration,0.9961,7/7,1.0000
evaluation vs cal_half_A,0.9961,7/7,1.0000
evaluation vs cal_half_B,0.9961,7/7,1.0000
calibration vs cal_half_A,0.9980,7/7,1.0000
calibration vs cal_half_B,1.0000,7/7,1.0000
cal_half_A vs cal_half_B,0.9980,7/7,1.0000

ranking_source,k,C_eval_pct,top_ids
evaluation,1,0.0000,14
evaluation,2,0.0000,14;69
evaluation,3,0.3603,14;69;27
evaluation,4,4.2034,14;69;27;32
evaluation,5,4.4436,14;69;27;32;2
evaluation,6,5.6045,14;69;27;32;2;9
evaluation,7,19.8159,14;69;27;32;2;9;10
evaluation,8,21.8575,14;69;27;32;2;9;10;11
evaluation,9,22.6181,14;69;27;32;2;9;10;11;5
evaluation,10,31.3050,14;69;27;32;2;9;10;11;5;18
evaluation,11,34.0272,14;69;27;32;2;9;10;11;5;18;4
evaluation,12,42.2338,14;69;27;32;2;9;10;11;5;18;4;20
evaluation,13,52.6021,14;69;27;32;2;9;10;11;5;18;4;20;1
evaluation,14,57.5260,14;69;27;32;2;9;10;11;5;18;4;20;1;6
calibration,1,0.0000,14
calibration,2,0.0000,14;69
calibration,3,0.3603,14;69;27
calibration,4,4.2034,14;69;27;32
calibration,5,5.1241,14;69;27;32;9
calibration,6,5.6045,14;69;27;32;9;2
calibration,7,19.8159,14;69;27;32;9;2;10
calibration,8,21.8575,14;69;27;32;9;2;10;11
calibration,9,22.6181,14;69;27;32;9;2;10;11;5
calibration,10,31.3050,14;69;27;32;9;2;10;11;5;18
calibration,11,34.0272,14;69;27;32;9;2;10;11;5;18;4
calibration,12,42.2338,14;69;27;32;9;2;10;11;5;18;4;20
calibration,13,52.6021,14;69;27;32;9;2;10;11;5;18;4;20;1
calibration,14,56.8855,14;69;27;32;9;2;10;11;5;18;4;20;1;19
cal_half_A,1,0.0000,14
cal_half_A,2,0.0000,14;69
cal_half_A,3,0.3603,14;69;27
cal_half_A,4,4.2034,14;69;27;32
cal_half_A,5,5.1241,14;69;27;32;9
cal_half_A,6,5.6045,14;69;27;32;9;2
cal_half_A,7,19.8159,14;69;27;32;9;2;10
cal_half_A,8,20.2562,14;69;27;32;9;2;10;5
cal_half_A,9,22.6181,14;69;27;32;9;2;10;5;11
cal_half_A,10,31.3050,14;69;27;32;9;2;10;5;11;18
cal_half_A,11,34.0272,14;69;27;32;9;2;10;5;11;18;4
cal_half_A,12,42.2338,14;69;27;32;9;2;10;5;11;18;4;20
cal_half_A,13,52.6021,14;69;27;32;9;2;10;5;11;18;4;20;1
cal_half_A,14,57.5260,14;69;27;32;9;2;10;5;11;18;4;20;1;6
cal_half_B,1,0.0000,14
cal_half_B,2,0.0000,14;69
cal_half_B,3,0.3603,14;69;27
cal_half_B,4,4.2034,14;69;27;32
cal_half_B,5,5.1241,14;69;27;32;9
cal_half_B,6,5.6045,14;69;27;32;9;2
cal_half_B,7,19.8159,14;69;27;32;9;2;10
cal_half_B,8,21.8575,14;69;27;32;9;2;10;11
cal_half_B,9,22.6181,14;69;27;32;9;2;10;11;5
cal_half_B,10,31.3050,14;69;27;32;9;2;10;11;5;18
cal_half_B,11,34.0272,14;69;27;32;9;2;10;11;5;18;4
cal_half_B,12,42.2338,14;69;27;32;9;2;10;11;5;18;4;20
cal_half_B,13,52.6021,14;69;27;32;9;2;10;11;5;18;4;20;1
cal_half_B,14,56.8855,14;69;27;32;9;2;10;11;5;18;4;20;1;19
