substrate,method,N,map_n,rotation_disp_median,rotation_disp_rms,rotation_disp_max,reference_m,plus5_m,minus5_m,plus5_pct,minus5_pct,legacy_iso8_m,legacy_iso8_pct,plus5_minus_legacy_iso8_pp,exact_mag_iso8_m,exact_mag_iso8_pct,plus5_minus_exact_mag_iso8_pp,minus5_minus_exact_mag_iso8_pp,legacy_iso8_min_m,legacy_iso8_max_m,exact_mag_iso8_min_m,exact_mag_iso8_max_m
recovered29,WCL,2498,29,429.37951532109946,1157.3132880986118,3263.772855914626,597.6726773737064,895.2634410290896,548.1128436611066,49.79159578835972,-8.292136413258117,716.5097157749852,19.88329781503023,29.90829797332949,637.4576709270507,6.6566525557379554,43.134943232621765,-14.948788968996073,537.8959340414359,895.592152921157,579.6442643062264,758.0051221266816
recovered29,ABS,2498,29,429.37951532109946,1157.3132880986118,3263.772855914626,641.0128583786435,811.6151073791002,535.2857562323925,26.614481561566855,-16.493756835654377,668.8143567149359,4.337120226669492,22.27736133489736,682.410812764618,6.458209666914493,20.15627189465236,-22.951966502568865,530.632610427266,769.7312239386872,606.6795932319768,755.7395950415166
recovered29,DIFF,2498,29,429.37951532109946,1157.3132880986118,3263.772855914626,963.9527294587203,1077.964347092804,842.1046940964611,11.827511261688484,-12.640457528522113,1203.319443852635,24.831789680010978,-13.004278418322494,1155.9408791734622,19.916759800301335,-8.08924853861285,-32.55721732882345,825.219994024028,1282.9929975529444,856.5160772645094,1275.4838336535618
recovered29,Min-Max,2498,29,429.37951532109946,1157.3132880986118,3263.772855914626,466.00552668865595,623.2348961292362,453.18231826121416,33.73980788550328,-2.751728830033625,504.57369367680786,8.276332528116084,25.463475357387196,510.11367397867025,9.46515540350737,24.274652481995908,-12.216884233540995,451.2370954538461,589.8502619524751,460.62538473491827,546.5432381654903
official32_minus71,WCL,2498,32,327.98968175640096,426.7637544264815,1100.2501189851637,593.7425223082155,659.1088231627432,598.9552925979203,11.009199846494344,0.8779513162439235,682.441741851388,14.939004064985625,-3.92980421849128,628.812473550928,5.906592491704249,5.102607354790096,-5.028641175460325,605.0273108422084,776.6598325046654,583.354488130286,681.3087615508014
official32_minus71,ABS,2498,32,327.98968175640096,426.7637544264815,1100.2501189851637,555.6165186830742,588.1894106415334,573.409123630365,5.862477241616874,3.202317488591399,636.3143991675138,14.524024713251901,-8.661547471635027,579.3600012293405,4.273357927252271,1.589119314364603,-1.0710404386608725,590.9326360255686,683.7836995969052,552.5028836189138,647.3860656211598
official32_minus71,DIFF,2498,32,327.98968175640096,426.7637544264815,1100.2501189851637,1082.7111969409727,1155.0877612638792,1052.1037103557458,6.684752547807288,-2.826929902609628,1301.7677991048172,20.23222838950533,-13.547475841698041,1156.8003747224732,6.842930782541786,-0.15817823473449738,-9.669860685151413,1228.2495460870045,1406.5484427343044,1062.883615267359,1265.0347719596466
official32_minus71,Min-Max,2498,32,327.98968175640096,426.7637544264815,1100.2501189851637,478.88143519512585,515.0336723378,488.5079145385529,7.549308552323291,2.01020098837296,516.0499525174146,7.761528134233053,-0.21221958190976298,501.8993925798062,4.806608837384022,2.7426997149392687,-2.796407849011062,487.64112818937576,576.0991575615203,474.6250043001338,520.8332163268499
recovered27_common,WCL,2498,27,365.33166310450633,1130.4146103188132,3303.4618787020395,593.2183143536402,836.9971020929033,518.7011634245152,41.09427875720258,-12.5615054569442,687.3621521250595,15.87001538784196,25.22426336936062,639.1893393026926,7.7494277969387415,33.34485096026384,-20.310933253882943,534.2066801034534,753.9485881623729,602.8806276114901,724.9177768894382
recovered27_common,ABS,2498,27,365.33166310450633,1130.4146103188132,3303.4618787020395,639.9899678146855,779.4707164175447,513.8252622876453,21.79420859972715,-19.71354425411436,640.6438752792807,0.10217464296010345,21.692033956767045,668.9444980127274,4.524216261843953,17.269992337883195,-24.23776051595831,524.9939914560896,724.0172490235336,590.8389670193983,737.5729082230527
recovered27_common,DIFF,2498,27,365.33166310450633,1130.4146103188132,3303.4618787020395,989.6227832833138,1092.909210387032,818.8104942043842,10.436949194019213,-17.260343230197098,1162.030545768977,17.42156358947786,-6.984614395458645,1097.5645287363814,10.907362610927839,-0.4704134169086249,-28.16770584112494,828.8039766582299,1354.1634196829002,868.2866440974917,1199.252375494086
recovered27_common,Min-Max,2498,27,365.33166310450633,1130.4146103188132,3303.4618787020395,469.8231520356294,582.5910374555161,427.3440183582961,24.002198472189146,-9.041515619926672,469.0445061575888,-0.16573169599389118,24.167930168183037,493.28813340124987,4.9944284916467865,19.00776998054236,-14.035944111573459,442.5265151591394,534.0127222692831,462.7859711424062,519.0137103849071
official27_common,WCL,2498,27,276.2255979623542,345.7556134428647,723.5399773446815,550.147955381421,573.8078021336272,575.1320001650577,4.3006334061175835,4.541331934300312,530.0990782566971,-3.644270042015122,7.944903448132705,552.7678215337745,0.47621119495703346,3.82442221116055,4.065120739343279,502.26163336970455,569.4015430815023,525.852361968985,600.9676299652043
official27_common,ABS,2498,27,276.2255979623542,345.7556134428647,723.5399773446815,560.2566653454028,552.018737350088,586.935020634985,-1.4703846477642528,4.761809531196705,534.1374017513131,-4.662017466224516,3.191632818460264,587.8929827661169,4.93279582915379,-6.403180476918043,-0.17098629795708545,489.51667465824085,593.611577179055,549.6335774867954,655.2240247988071
official27_common,DIFF,2498,27,276.2255979623542,345.7556134428647,723.5399773446815,1104.02759665123,1123.4623235755794,1078.8397415258605,1.7603479281948602,-2.281451587059055,1188.2816539635521,7.631517325099857,-5.871169396904996,1140.6604686815333,3.3181119875462626,-1.5577640593514024,-5.599563574605317,987.1654326784328,1271.581071510561,1025.1186336578612,1160.2299570135096
official27_common,Min-Max,2498,27,276.2255979623542,345.7556134428647,723.5399773446815,442.6550881089566,464.1208688096126,451.9730528091088,4.849324288207968,2.105016964779286,431.28961464509956,-2.5675686938132505,7.416892982021218,456.3578451999785,3.0955833241544184,1.7537409640535493,-0.9905663593751327,427.7166235655259,477.1905809346366,423.4709277178382,479.5625475738697
