substrate,n,method,reference_m,one_effect_pct,all_effect_pct,dense_minus_sparse_pp,top6_effect_pct,top7_effect_pct,top7_minus_top6_pp,legacy_rotation_effect_pct,legacy_iso8_effect_pct,legacy_rotation_minus_iso_pp,opcenter_rotation_effect_pct,opcenter_exact_iso8_effect_pct,opcenter_rotation_minus_iso_pp
recovered29,3.5,WCL,584.3011457663958,0.5386331572754306,842.3653599227243,841.8267267654489,48.13529666912766,243.1056718595157,194.97037519038804,44.34551810628812,16.91961801307626,27.425900093211858,9.473148766559174,3.211693732033511,6.261455034525662
recovered29,3.5,ABS,660.8163328599535,0.298155935241503,406.14574164499754,405.84758570975606,47.891829050640546,82.41166920543668,34.519840154796135,27.953091752331297,4.781115042841234,23.17197670949006,8.326968993508803,2.3504219580622165,5.976547035446586
recovered29,3.5,DIFF,965.3007810524468,-0.4752311710017418,282.37229627604404,282.84752744704576,22.804920960259313,66.9585190456198,44.153598085360485,15.839080399662345,21.926383211123937,-6.087302811461592,9.79739956424438,4.111085214786028,5.6863143494583515
recovered29,3.5,Min-Max,489.8414146431944,0.2426433391883466,610.3216801998582,610.0790368606698,110.92240232584547,274.6073023007195,163.684899974874,28.080279585573155,9.589662204967327,18.490617380605826,6.186153648653322,1.9243464840508053,4.261807164602517
recovered29,4.7,WCL,597.6726773737064,0.06643165574130003,845.2163572085356,845.1499255527942,49.5214043672065,233.37659527896434,183.85519091175786,49.79159578835972,19.88329781503023,29.908297973329493,12.362642570545459,3.681464611179688,8.68117795936577
recovered29,4.7,ABS,641.0128583786435,0.60110407441546,369.8212908290361,369.22018675462067,38.17262434949561,65.01301918587903,26.840394836383425,26.614481561566855,4.337120226669492,22.277361334897364,8.255885999127484,3.2199343022400893,5.035951696887395
recovered29,4.7,DIFF,963.9527294587203,-0.7650745461999653,242.89410611058486,243.65918065678483,13.402702454367375,48.81744995596451,35.414747501597134,11.827511261688484,24.831789680010978,-13.004278418322494,11.811355037327823,4.566255571788729,7.245099465539094
recovered29,4.7,Min-Max,466.00552668865595,0.13692732093350096,582.8965923551436,582.7596650342101,97.97667888468892,243.3327070919396,145.3560282072507,33.73980788550328,8.276332528116084,25.463475357387196,6.508122619952425,3.017868251364103,3.490254368588322
recovered29,6.0,WCL,611.0230442357513,0.2420902682896023,857.0613066108563,856.8192163425666,49.20898033902963,239.94268859708788,190.73370825805824,47.92280242926426,22.11143489970914,25.81136752955512,13.266278058613983,5.783701424338028,7.482576634275955
recovered29,6.0,ABS,640.8406079156141,0.5779167352359603,347.87992604478575,347.30200930954976,29.08342341472167,45.80505051480844,16.721627100086774,25.09459213993421,0.5869654947306422,24.50762664520357,7.086525437512392,1.8138636084368445,5.272661829075547
