run,check,pass_check
R26M71_N4P7_D5000_W10,selection share k=5,True
R26M71_N4P7_D5000_W10,selection share k=6,True
R26M71_N4P7_D5000_W10,selection share k=7,True
R26M71_N4P7_D5000_W10,selection share k=8,True
R27_N4P7_D10000_W10,N replay,True
R27_N4P7_D1000_W10,N replay,True
R27_N4P7_D1000_W10,selection share k=1,True
R27_N4P7_D1000_W10,selection share k=2,True
R27_N4P7_D1000_W10,selection share k=3,True
R27_N4P7_D1000_W10,selection share k=4,True
R27_N4P7_D1000_W10,selection share k=5,True
R27_N4P7_D1000_W10,selection share k=6,True
R27_N4P7_D1000_W10,selection share k=7,True
R27_N4P7_D1000_W10,selection share k=8,True
R27_N4P7_D5000_W10,N replay,True
R27_N4P7_D5000_W10,selection share k=1,True
R27_N4P7_D5000_W10,selection share k=2,True
R27_N4P7_D5000_W10,selection share k=3,True
R27_N4P7_D5000_W10,selection share k=4,True
R27_N4P7_D5000_W10,selection share k=5,True
R27_N4P7_D5000_W10,selection share k=6,True
R27_N4P7_D5000_W10,selection share k=7,True
R27_N4P7_D5000_W10,selection share k=8,True
R27_N4P7_D5000_W10,selection share k=9,True
R27_N4P7_D5000_W10,selection share k=10,True
R27_N4P7_D5000_W10,selection share k=11,True
R27_N4P7_D5000_W10,selection share k=12,True
R27_N4P7_D5000_W10,selection share k=13,True
R27_N4P7_D5000_W10,selection share k=14,True
