run,map,n,D_m,window,N,map_n,source,k,arm,S_display,method,median_m,effect_pct,draws,line,min_m,max_m
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,bottom,0.008,WCL,580.0,0.6,8,132,579.0,581.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,bottom,0.008,ABS,550.0,0.1,8,132,549.0,550.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,bottom,0.008,DIFF,1062.0,1.3,8,132,1050.0,1081.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,bottom,0.008,Min-Max,487.0,1.3,8,132,481.0,488.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,random,0.115,WCL,622.0,7.8,8,134,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,random,0.115,ABS,562.0,2.4,8,134,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,random,0.115,DIFF,929.0,-11.3,8,134,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,random,0.115,Min-Max,540.0,12.4,8,134,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,4,top,0.344,WCL,654.0,13.4,8,135,649.0,658.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,4,top,0.344,ABS,588.0,7.1,8,135,560.0,620.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,4,top,0.344,DIFF,847.0,-19.2,8,135,757.0,889.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,4,top,0.344,Min-Max,651.0,35.5,8,135,586.0,709.0
