map,window,N,k,added,exhausted_n,newly_exhausted_n,C_pct,delta_C_pp,S_pct,top_ids
official26_common_minus71.json,5,2494,13,4,1371,147,54.971932638332,5.894145950280674,82.5969715826592,"14,69,9,27,32,2,10,5,11,18,20,1,4"
official26_common_minus71.json,5,2494,14,6,1519,148,60.906174819566964,5.934242181234964,85.07571043352002,"14,69,9,27,32,2,10,5,11,18,20,1,4,6"
official26_common_minus71.json,5,2494,15,19,1648,129,66.0785886126704,5.172413793103448,87.49222153080274,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19"
official26_common_minus71.json,5,2494,16,17,1709,61,68.52445870088212,2.445870088211708,89.7427919518772,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17"
official26_common_minus71.json,5,2494,17,12,1867,158,74.85966319165999,6.335204490777866,91.86890686579548,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12"
official26_common_minus71.json,5,2494,18,7,2007,140,80.47313552526063,5.613472333600641,93.9639079029247,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7"
official26_common_minus71.json,5,2494,19,25,2121,114,85.04410585404972,4.570970328789094,95.44700269653599,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7,25"
official26_common_minus71.json,5,2494,20,70,2244,123,89.97594226142742,4.931836407377706,96.76415681393902,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7,25,70"
official26_common_minus71.json,5,2494,21,15,2297,53,92.10104250200482,2.125100240577386,97.7909147479776,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7,25,70,15"
official26_common_minus71.json,5,2494,22,34,2368,71,94.94787489975943,2.846832397754611,98.61024683675585,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7,25,70,15,34"
official26_common_minus71.json,5,2494,23,23,2421,53,97.07297514033681,2.125100240577386,99.24289566479983,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7,25,70,15,34,23"
official26_common_minus71.json,5,2494,24,37,2465,44,98.83720930232558,1.7642341619887731,99.69923252437253,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7,25,70,15,34,23,37"
official26_common_minus71.json,5,2494,25,50,2488,23,99.75942261427426,0.9222133119486768,99.9377722464219,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7,25,70,15,34,23,37,50"
official26_common_minus71.json,5,2494,26,33,2494,6,100.0,0.24057738572574178,100.0,"14,69,9,27,32,2,10,5,11,18,20,1,4,6,19,17,12,7,25,70,15,34,23,37,50,33"
official27_common.json,10,2498,1,14,0,0,0.0,0.0,9.763779527559056,14
official27_common.json,10,2498,2,69,0,0,0.0,0.0,18.71236683649838,"14,69"
official27_common.json,10,2498,3,27,12,12,0.4803843074459567,0.4803843074459567,27.12366836498379,"14,69,27"
official27_common.json,10,2498,4,32,98,86,3.923138510808647,3.4427542033626897,34.59008800370542,"14,69,27,32"
official27_common.json,10,2498,5,9,135,37,5.4043234587670135,1.4811849479583667,41.574803149606296,"14,69,27,32,9"
official27_common.json,10,2498,6,2,145,10,5.804643714971978,0.4003202562049639,48.263084761463645,"14,69,27,32,9,2"
official27_common.json,10,2498,7,10,511,366,20.456365092073657,14.651721377101682,54.04353867531264,"14,69,27,32,9,2,10"
official27_common.json,10,2498,8,5,523,12,20.936749399519616,0.4803843074459567,59.0365910143585,"14,69,27,32,9,2,10,5"
official27_common.json,10,2498,9,11,578,55,23.138510808646917,2.2017614091273017,63.90921723019917,"14,69,27,32,9,2,10,5,11"
official27_common.json,10,2498,10,18,775,197,31.024819855884704,7.8863090472377895,68.39277443260768,"14,69,27,32,9,2,10,5,11,18"
