run,method,k6_pct,k7_pct,jump_pp,positive,largest_early_k,is_largest_k7,largest_early_pp,jumps_1to8,k6_line,k7_line,source
O32M71_N4P7_D5000_W10,DIFF,-19.9,17.0,36.9,True,7,True,36.9,"{""1"": -16.4, ""2"": -7.6, ""3"": 1.8, ""4"": 0.5, ""5"": 0.8, ""6"": 1.0, ""7"": 36.9, ""8"": -4.7}",145,150,results/O32M71_N4P7_D5000_W10.txt
O32M71_N4P7_D5000_W10,Min-Max,56.1,149.4,93.3,True,7,True,93.3,"{""1"": 14.3, ""2"": 2.0, ""3"": 4.2, ""4"": 19.4, ""5"": 17.7, ""6"": -1.5, ""7"": 93.3, ""8"": -14.6}",145,150,results/O32M71_N4P7_D5000_W10.txt
O32M71_N4P7_D5000_W5,WCL,33.9,153.7,119.8,True,7,True,119.8,"{""1"": 4.5, ""2"": -6.3, ""3"": 8.8, ""4"": 5.7, ""5"": 1.7, ""6"": 19.5, ""7"": 119.8, ""8"": 1.5}",145,150,results/O32M71_N4P7_D5000_W5.txt
O32M71_N4P7_D5000_W5,ABS,12.9,65.2,52.3,True,7,True,52.3,"{""1"": 3.3, ""2"": -1.7, ""3"": 4.0, ""4"": 3.0, ""5"": 5.1, ""6"": -0.8, ""7"": 52.3, ""8"": 8.0}",145,150,results/O32M71_N4P7_D5000_W5.txt
O32M71_N4P7_D5000_W5,DIFF,-19.2,10.7,29.9,True,7,True,29.9,"{""1"": -22.3, ""2"": -5.5, ""3"": -3.2, ""4"": 7.6, ""5"": 3.1, ""6"": 1.1, ""7"": 29.9, ""8"": -3.6}",145,150,results/O32M71_N4P7_D5000_W5.txt
O32M71_N4P7_D5000_W5,Min-Max,65.1,162.6,97.5,True,7,True,97.5,"{""1"": 16.7, ""2"": 3.5, ""3"": 6.3, ""4"": 14.1, ""5"": 13.0, ""6"": 11.5, ""7"": 97.5, ""8"": -37.1}",145,150,results/O32M71_N4P7_D5000_W5.txt
O33PUBLISHED_N4P7_D5000_W10,WCL,24.4,154.0,129.6,True,7,True,129.6,"{""1"": 5.7, ""2"": -5.0, ""3"": 5.9, ""4"": 0.9, ""5"": 12.8, ""6"": 4.1, ""7"": 129.6, ""8"": -20.4}",145,150,results/O33PUBLISHED_N4P7_D5000_W10.txt
O33PUBLISHED_N4P7_D5000_W10,ABS,7.6,70.0,62.4,True,7,True,62.4,"{""1"": 3.7, ""2"": -3.8, ""3"": 2.4, ""4"": 0.3, ""5"": 1.9, ""6"": 3.1, ""7"": 62.4, ""8"": 2.0}",145,150,results/O33PUBLISHED_N4P7_D5000_W10.txt
O33PUBLISHED_N4P7_D5000_W10,DIFF,-14.5,26.1,40.6,True,7,True,40.6,"{""1"": -16.1, ""2"": -3.7, ""3"": 0.7, ""4"": 0.4, ""5"": 3.3, ""6"": 0.9, ""7"": 40.6, ""8"": -8.1}",145,150,results/O33PUBLISHED_N4P7_D5000_W10.txt
O33PUBLISHED_N4P7_D5000_W10,Min-Max,55.6,162.9,107.3,True,7,True,107.3,"{""1"": 14.4, ""2"": 4.3, ""3"": 1.9, ""4"": 9.7, ""5"": 9.6, ""6"": 15.7, ""7"": 107.3, ""8"": -29.8}",145,150,results/O33PUBLISHED_N4P7_D5000_W10.txt
O33R71_N4P7_D1000_W10,WCL,9.4,32.1,22.7,True,7,True,22.7,"{""1"": 6.1, ""2"": 6.5, ""3"": 13.1, ""4"": -14.1, ""5"": 11.3, ""6"": -13.5, ""7"": 22.7, ""8"": -10.1}",145,150,results/O33R71_N4P7_D1000_W10.txt
O33R71_N4P7_D1000_W10,ABS,11.3,50.6,39.3,True,7,True,39.3,"{""1"": 5.3, ""2"": 4.5, ""3"": 3.9, ""4"": -7.3, ""5"": 9.7, ""6"": -4.8, ""7"": 39.3, ""8"": -38.0}",145,150,results/O33R71_N4P7_D1000_W10.txt
O33R71_N4P7_D1000_W10,DIFF,5.0,35.6,30.6,True,7,True,30.6,"{""1"": -3.3, ""2"": 5.9, ""3"": -3.3, ""4"": 9.4, ""5"": 0.7, ""6"": -4.4, ""7"": 30.6, ""8"": 17.5}",145,150,results/O33R71_N4P7_D1000_W10.txt
