run,map,n,D_m,window,N,map_n,source,f,fraction_pct_display,method,median_m,effect_pct,draws,line,min_m,max_m
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,3,11,ABS,589.0,5.1,8,78,557.0,609.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,3,11,DIFF,937.0,-15.2,8,78,822.0,1096.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,3,11,Min-Max,553.0,24.9,8,78,460.0,675.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,6,22,WCL,601.0,9.3,8,80,590.0,641.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,6,22,ABS,624.0,11.5,8,80,560.0,735.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,6,22,DIFF,845.0,-23.5,8,80,744.0,1020.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,6,22,Min-Max,639.0,44.4,8,80,477.0,766.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,13,48,WCL,826.0,50.1,8,82,601.0,1023.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,13,48,ABS,691.0,23.3,8,82,646.0,972.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,13,48,DIFF,967.0,-12.4,8,82,853.0,1165.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,13,48,Min-Max,863.0,94.9,8,82,563.0,1071.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,20,74,WCL,1733.0,215.0,8,84,815.0,4342.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,20,74,ABS,1295.0,131.1,8,84,929.0,2039.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,20,74,DIFF,1558.0,41.1,8,84,1114.0,2424.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,20,74,Min-Max,1477.0,233.6,8,84,885.0,2308.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,27,100,WCL,6068.0,1003.0,8,86,5270.0,6669.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,27,100,ABS,2932.0,423.3,8,86,2630.0,3249.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,27,100,DIFF,3260.0,195.3,8,86,3077.0,3615.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,27,100,Min-Max,3653.0,725.2,8,86,2425.0,4817.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,4,WCL,553.0,0.4,8,76,550.0,580.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,4,ABS,560.0,0.0,8,76,544.0,620.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,4,DIFF,1104.0,0.0,8,76,1062.0,1255.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,4,Min-Max,443.0,0.1,8,76,443.0,483.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,11,WCL,574.0,4.4,8,78,479.0,641.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,11,ABS,583.0,4.1,8,78,535.0,617.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,11,DIFF,1162.0,5.2,8,78,963.0,1520.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,11,Min-Max,465.0,5.0,8,78,437.0,518.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,6,22,WCL,595.0,8.2,8,80,568.0,631.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,6,22,ABS,586.0,4.6,8,80,541.0,677.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,6,22,DIFF,1200.0,8.7,8,80,962.0,1602.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,6,22,Min-Max,461.0,4.1,8,80,447.0,512.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,13,48,WCL,658.0,19.5,8,82,534.0,856.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,13,48,ABS,593.0,5.9,8,82,566.0,758.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,13,48,DIFF,1309.0,18.6,8,82,938.0,1725.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,13,48,Min-Max,499.0,12.8,8,82,463.0,564.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,20,74,WCL,757.0,37.6,8,84,572.0,851.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,20,74,ABS,718.0,28.2,8,84,586.0,835.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,20,74,DIFF,1445.0,30.9,8,84,1316.0,2173.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,20,74,Min-Max,558.0,26.0,8,84,490.0,713.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,27,100,WCL,834.0,51.7,8,86,729.0,874.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,27,100,ABS,813.0,45.2,8,86,757.0,925.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,27,100,DIFF,1709.0,54.8,8,86,1258.0,1961.0
