substrate,method,baseline_m,rotation_m,rotation_pct,iso8_median_m,iso8_min_m,iso8_max_m,iso8_min_pct,iso8_max_pct,central_contrast_m,central_contrast_pp,iso_draws_below_rotation,iso_draws_equal_rotation,iso_draws_above_rotation,n_draws
recovered29,WCL,597.6726773737064,671.560814219227,12.362642570545459,619.6757854819095,553.9545324891658,692.6182750267762,-7.3147303766079625,15.885885577082066,51.8850287373175,8.681177959365773,6,0,2,8
recovered29,ABS,641.0128583786435,693.9341492061328,8.255885999127484,661.6530512873471,641.0615891562517,689.800449446587,0.007602152900868273,7.611015977330812,32.28109791878569,5.035951696887395,8,0,0,8
recovered29,DIFF,963.9527294587203,1077.808608727102,11.811355037327823,1007.9692746770387,888.0569307584649,1096.2836499840093,-7.8733942423579775,13.727947074707242,69.83933405006326,7.245099465539095,7,0,1,8
recovered29,Min-Max,466.00552668865595,496.3337377813088,6.508122619952425,480.06895952819497,452.493456984988,501.6491248639036,-2.899551385083799,7.64875009713384,16.264778253113832,3.490254368588322,7,0,1,8
official32_minus71,WCL,593.7425223082155,627.0782278378335,5.614505324635193,577.8537983519379,548.690452131812,612.2037532550485,-7.587812643308826,3.1092991074756884,49.2244294858956,8.290534640256553,8,0,0,8
official32_minus71,ABS,555.6165186830742,578.666923362213,4.148617599378248,541.4801138366118,525.7451086745806,574.541544400575,-5.376263844583856,3.4061308620479904,37.18680952560112,6.692891279356044,8,0,0,8
official32_minus71,DIFF,1082.7111969409727,1106.3175574072834,2.1803007609976377,1088.115721857088,1023.9145049257766,1143.2936369369065,-5.43050558462098,5.595438577443345,18.201835550195483,1.6811348771142163,5,0,3,8
official32_minus71,Min-Max,478.88143519512585,514.1482872973793,7.364422487558647,474.7673534545286,447.4608547961052,483.7849026560813,-6.56124420154604,1.0239418571232461,39.38093384285071,8.223524853663305,8,0,0,8
