bin_center,n_subsets,exact_S_min,exact_S_max,k_min,k_max,unique_subsets,proposals,direction_realizations_per_subset
0.1,8,0.09410112359550561,0.12397003745318352,2,6,8,89,1
0.2,8,0.17827715355805243,0.21179775280898877,5,9,8,93,1
0.3,8,0.29363295880149815,0.3218164794007491,7,11,8,66,1
0.4,8,0.37612359550561797,0.41685393258426967,8,13,8,81,1
0.5,8,0.47593632958801496,0.5103932584269663,12,14,8,172,1
