substrate,method,arm,draw,seed,baseline_m,median_error_m,change_pct,source_file,source_sha256
recovered29,WCL,exact_profile_random_directions,6,7828,597.6726773737064,610.4824610081596,2.1432774358603703,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7828.npz,7fc27c10fb25ade5e04b04c86218cd0ac296b42f1f82c258db1df73146b24f2f
recovered29,ABS,exact_profile_random_directions,6,7828,641.0128583786435,659.8031659116367,2.931346428918881,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7828.npz,7fc27c10fb25ade5e04b04c86218cd0ac296b42f1f82c258db1df73146b24f2f
recovered29,DIFF,exact_profile_random_directions,6,7828,963.9527294587203,902.4014856364408,-6.385296907332979,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7828.npz,7fc27c10fb25ade5e04b04c86218cd0ac296b42f1f82c258db1df73146b24f2f
recovered29,Min-Max,exact_profile_random_directions,6,7828,466.00552668865595,474.88421118381643,1.905274505701827,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7828.npz,7fc27c10fb25ade5e04b04c86218cd0ac296b42f1f82c258db1df73146b24f2f
recovered29,WCL,exact_profile_random_directions,7,7841,597.6726773737064,692.6182750267762,15.885885577082066,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7841.npz,c06e8b346864a20aa286bb6faa86b25a8ce16594c0799861e53cf52a154786a3
recovered29,ABS,exact_profile_random_directions,7,7841,641.0128583786435,663.5029366630574,3.5085221755612794,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7841.npz,c06e8b346864a20aa286bb6faa86b25a8ce16594c0799861e53cf52a154786a3
recovered29,DIFF,exact_profile_random_directions,7,7841,963.9527294587203,1059.3797654481393,9.899555556318957,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7841.npz,c06e8b346864a20aa286bb6faa86b25a8ce16594c0799861e53cf52a154786a3
recovered29,Min-Max,exact_profile_random_directions,7,7841,466.00552668865595,492.0246747905562,5.5834419576066505,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7841.npz,c06e8b346864a20aa286bb6faa86b25a8ce16594c0799861e53cf52a154786a3
official32_minus71,WCL,exact_profile_random_directions,0,7750,593.7425223082155,596.1344783733093,0.40286083196381833,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7750.npz,af090c5d9a668bf8819e6cbcb75469c84d65d0a8981340bc7e84422471e16310
official32_minus71,ABS,exact_profile_random_directions,0,7750,555.6165186830742,563.3803419155452,1.39733484722031,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7750.npz,af090c5d9a668bf8819e6cbcb75469c84d65d0a8981340bc7e84422471e16310
official32_minus71,DIFF,exact_profile_random_directions,0,7750,1082.7111969409727,1123.4213775488383,3.7600221298981387,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7750.npz,af090c5d9a668bf8819e6cbcb75469c84d65d0a8981340bc7e84422471e16310
official32_minus71,Min-Max,exact_profile_random_directions,0,7750,478.88143519512585,479.7429293295671,0.1798971668405243,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7750.npz,af090c5d9a668bf8819e6cbcb75469c84d65d0a8981340bc7e84422471e16310
official32_minus71,WCL,exact_profile_random_directions,1,7763,593.7425223082155,548.690452131812,-7.587812643308826,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7763.npz,105c661435312bfd1e296ee5e2ea5a56521c9fb315b3a69e4a1357c639d75d7b
official32_minus71,ABS,exact_profile_random_directions,1,7763,555.6165186830742,539.3860055052728,-2.921171821217821,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7763.npz,105c661435312bfd1e296ee5e2ea5a56521c9fb315b3a69e4a1357c639d75d7b
official32_minus71,DIFF,exact_profile_random_directions,1,7763,1082.7111969409727,1069.2244138099354,-1.2456491785752355,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7763.npz,105c661435312bfd1e296ee5e2ea5a56521c9fb315b3a69e4a1357c639d75d7b
official32_minus71,Min-Max,exact_profile_random_directions,1,7763,478.88143519512585,447.4608547961052,-6.56124420154604,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7763.npz,105c661435312bfd1e296ee5e2ea5a56521c9fb315b3a69e4a1357c639d75d7b
official32_minus71,WCL,exact_profile_random_directions,2,7776,593.7425223082155,612.2037532550485,3.1092991074756884,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7776.npz,0ffd2ac561821cadb9b0e33b16f6cb7904232abf9b38a2c90af2cbd9432401b3
official32_minus71,ABS,exact_profile_random_directions,2,7776,555.6165186830742,531.8754585442541,-4.272921941754237,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7776.npz,0ffd2ac561821cadb9b0e33b16f6cb7904232abf9b38a2c90af2cbd9432401b3
official32_minus71,DIFF,exact_profile_random_directions,2,7776,1082.7111969409727,1101.5313567757605,1.738243761398342,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7776.npz,0ffd2ac561821cadb9b0e33b16f6cb7904232abf9b38a2c90af2cbd9432401b3
official32_minus71,Min-Max,exact_profile_random_directions,2,7776,478.88143519512585,483.7849026560813,1.0239418571232461,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7776.npz,0ffd2ac561821cadb9b0e33b16f6cb7904232abf9b38a2c90af2cbd9432401b3
official32_minus71,WCL,exact_profile_random_directions,3,7789,593.7425223082155,591.8693159896873,-0.3154913532630269,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7789.npz,5d387ded67afd0e8cf8979e93578f24d2dbfb6a40e3bf6157cdb62adf5ec4b00
official32_minus71,ABS,exact_profile_random_directions,3,7789,555.6165186830742,543.5742221679509,-2.1673755387377707,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7789.npz,5d387ded67afd0e8cf8979e93578f24d2dbfb6a40e3bf6157cdb62adf5ec4b00
official32_minus71,DIFF,exact_profile_random_directions,3,7789,1082.7111969409727,1143.2936369369065,5.595438577443345,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7789.npz,5d387ded67afd0e8cf8979e93578f24d2dbfb6a40e3bf6157cdb62adf5ec4b00
official32_minus71,Min-Max,exact_profile_random_directions,3,7789,478.88143519512585,469.85005484915047,-1.8859324421911317,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7789.npz,5d387ded67afd0e8cf8979e93578f24d2dbfb6a40e3bf6157cdb62adf5ec4b00
official32_minus71,WCL,exact_profile_random_directions,4,7802,593.7425223082155,558.2790285968331,-5.972874163284716,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7802.npz,a82313f4b3e233cc967979be5f4b461657ad1292032d6ee3c4c3708ac93c4183
official32_minus71,ABS,exact_profile_random_directions,4,7802,555.6165186830742,525.7451086745806,-5.376263844583856,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7802.npz,a82313f4b3e233cc967979be5f4b461657ad1292032d6ee3c4c3708ac93c4183
official32_minus71,DIFF,exact_profile_random_directions,4,7802,1082.7111969409727,1074.7000869384153,-0.739911993631499,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7802.npz,a82313f4b3e233cc967979be5f4b461657ad1292032d6ee3c4c3708ac93c4183
official32_minus71,Min-Max,exact_profile_random_directions,4,7802,478.88143519512585,471.1390324828229,-1.6167681900527604,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7802.npz,a82313f4b3e233cc967979be5f4b461657ad1292032d6ee3c4c3708ac93c4183
