D_m,f,fraction_pct_reported,fraction_pct_exact,method,median_m,effect_pct,draws,source_file,source_line
1000,7,24,24.137931034482758,ABS,689.0,7.4,8,results/base_logs/diffrepair_e1_d1000.txt,80
1000,7,24,24.137931034482758,DIFF,1055.0,9.5,8,results/base_logs/diffrepair_e1_d1000.txt,80
1000,7,24,24.137931034482758,Min-Max,500.0,7.2,8,results/base_logs/diffrepair_e1_d1000.txt,80
1000,14,48,48.275862068965516,WCL,733.0,22.6,8,results/base_logs/diffrepair_e1_d1000.txt,82
1000,14,48,48.275862068965516,ABS,705.0,10.0,8,results/base_logs/diffrepair_e1_d1000.txt,82
1000,14,48,48.275862068965516,DIFF,978.0,1.4,8,results/base_logs/diffrepair_e1_d1000.txt,82
1000,14,48,48.275862068965516,Min-Max,537.0,15.2,8,results/base_logs/diffrepair_e1_d1000.txt,82
1000,21,72,72.41379310344827,WCL,828.0,38.5,8,results/base_logs/diffrepair_e1_d1000.txt,84
1000,21,72,72.41379310344827,ABS,732.0,14.2,8,results/base_logs/diffrepair_e1_d1000.txt,84
1000,21,72,72.41379310344827,DIFF,1324.0,37.3,8,results/base_logs/diffrepair_e1_d1000.txt,84
1000,21,72,72.41379310344827,Min-Max,619.0,32.8,8,results/base_logs/diffrepair_e1_d1000.txt,84
1000,29,100,100.0,WCL,868.0,45.3,8,results/base_logs/diffrepair_e1_d1000.txt,86
1000,29,100,100.0,ABS,898.0,40.1,8,results/base_logs/diffrepair_e1_d1000.txt,86
1000,29,100,100.0,DIFF,1386.0,43.8,8,results/base_logs/diffrepair_e1_d1000.txt,86
1000,29,100,100.0,Min-Max,687.0,47.4,8,results/base_logs/diffrepair_e1_d1000.txt,86
2500,1,3,3.4482758620689653,WCL,598.0,0.1,8,results/base_logs/diffrepair_e1_d2500.txt,76
2500,1,3,3.4482758620689653,ABS,642.0,0.2,8,results/base_logs/diffrepair_e1_d2500.txt,76
2500,1,3,3.4482758620689653,DIFF,964.0,0.0,8,results/base_logs/diffrepair_e1_d2500.txt,76
2500,1,3,3.4482758620689653,Min-Max,467.0,0.2,8,results/base_logs/diffrepair_e1_d2500.txt,76
2500,3,10,10.344827586206897,WCL,622.0,4.1,8,results/base_logs/diffrepair_e1_d2500.txt,78
2500,3,10,10.344827586206897,ABS,670.0,4.5,8,results/base_logs/diffrepair_e1_d2500.txt,78
