k,arm,selection_share,method,median_m,effect_pct,draws,source_file,source_line
5,bottom,0.004,WCL,599.0,0.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,136
5,bottom,0.004,ABS,644.0,0.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,136
5,bottom,0.004,DIFF,966.0,0.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,136
5,bottom,0.004,Min-Max,468.0,0.5,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,136
5,random,0.217,WCL,649.0,8.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,138
5,random,0.217,ABS,717.0,11.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,138
5,random,0.217,DIFF,947.0,-1.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,138
5,random,0.217,Min-Max,580.0,24.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,138
6,top,0.477,WCL,894.0,49.5,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,139
6,top,0.477,ABS,886.0,38.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,139
6,top,0.477,DIFF,1093.0,13.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,139
6,top,0.477,Min-Max,923.0,98.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,139
6,bottom,0.01,WCL,598.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,141
6,bottom,0.01,ABS,644.0,0.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,141
6,bottom,0.01,DIFF,967.0,0.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,141
6,bottom,0.01,Min-Max,469.0,0.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,141
6,random,0.207,WCL,643.0,7.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,143
6,random,0.207,ABS,704.0,9.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,143
6,random,0.207,DIFF,992.0,2.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,143
6,random,0.207,Min-Max,579.0,24.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,143
7,top,0.535,WCL,1993.0,233.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,144
7,top,0.535,ABS,1058.0,65.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,144
7,top,0.535,DIFF,1435.0,48.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,144
7,top,0.535,Min-Max,1600.0,243.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,144
7,bottom,0.016,WCL,599.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,146
7,bottom,0.016,ABS,644.0,0.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,146
7,bottom,0.016,DIFF,965.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,146
7,bottom,0.016,Min-Max,472.0,1.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,146
7,random,0.233,WCL,702.0,17.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,148
7,random,0.233,ABS,679.0,6.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,148
7,random,0.233,DIFF,996.0,3.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,148
7,random,0.233,Min-Max,601.0,29.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,148
8,top,0.586,WCL,1916.0,220.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,149
8,top,0.586,ABS,1083.0,69.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,149
8,top,0.586,DIFF,1348.0,39.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,149
8,top,0.586,Min-Max,1492.0,220.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,149
8,bottom,0.026,WCL,601.0,0.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,151
8,bottom,0.026,ABS,646.0,0.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,151
8,bottom,0.026,DIFF,964.0,0.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,151
8,bottom,0.026,Min-Max,472.0,1.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,151
8,random,0.271,WCL,697.0,16.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,153
