D_m,angle_deg,method,median_m,effect_pct,source_file,source_line
500,120,ABS,655.0,2.1,results/base_logs/diffrepair_e3b_angles.txt,156
500,120,DIFF,1251.0,29.8,results/base_logs/diffrepair_e3b_angles.txt,156
500,120,Min-Max,542.0,16.3,results/base_logs/diffrepair_e3b_angles.txt,156
500,150,WCL,628.0,5.0,results/base_logs/diffrepair_e3b_angles.txt,157
500,150,ABS,629.0,-1.8,results/base_logs/diffrepair_e3b_angles.txt,157
500,150,DIFF,945.0,-1.9,results/base_logs/diffrepair_e3b_angles.txt,157
500,150,Min-Max,522.0,12.1,results/base_logs/diffrepair_e3b_angles.txt,157
500,180,WCL,661.0,10.5,results/base_logs/diffrepair_e3b_angles.txt,158
500,180,ABS,576.0,-10.1,results/base_logs/diffrepair_e3b_angles.txt,158
500,180,DIFF,911.0,-5.5,results/base_logs/diffrepair_e3b_angles.txt,158
500,180,Min-Max,535.0,14.8,results/base_logs/diffrepair_e3b_angles.txt,158
500,210,WCL,721.0,20.7,results/base_logs/diffrepair_e3b_angles.txt,159
500,210,ABS,703.0,9.7,results/base_logs/diffrepair_e3b_angles.txt,159
500,210,DIFF,966.0,0.2,results/base_logs/diffrepair_e3b_angles.txt,159
500,210,Min-Max,565.0,21.2,results/base_logs/diffrepair_e3b_angles.txt,159
500,240,WCL,828.0,38.6,results/base_logs/diffrepair_e3b_angles.txt,160
500,240,ABS,835.0,30.3,results/base_logs/diffrepair_e3b_angles.txt,160
500,240,DIFF,1030.0,6.9,results/base_logs/diffrepair_e3b_angles.txt,160
500,240,Min-Max,620.0,33.0,results/base_logs/diffrepair_e3b_angles.txt,160
500,270,WCL,897.0,50.1,results/base_logs/diffrepair_e3b_angles.txt,161
500,270,ABS,937.0,46.1,results/base_logs/diffrepair_e3b_angles.txt,161
500,270,DIFF,1150.0,19.3,results/base_logs/diffrepair_e3b_angles.txt,161
500,270,Min-Max,689.0,47.9,results/base_logs/diffrepair_e3b_angles.txt,161
500,300,WCL,993.0,66.2,results/base_logs/diffrepair_e3b_angles.txt,162
500,300,ABS,909.0,41.8,results/base_logs/diffrepair_e3b_angles.txt,162
500,300,DIFF,1185.0,22.9,results/base_logs/diffrepair_e3b_angles.txt,162
500,300,Min-Max,716.0,53.6,results/base_logs/diffrepair_e3b_angles.txt,162
500,330,WCL,1007.0,68.5,results/base_logs/diffrepair_e3b_angles.txt,163
500,330,ABS,855.0,33.4,results/base_logs/diffrepair_e3b_angles.txt,163
500,330,DIFF,1139.0,18.1,results/base_logs/diffrepair_e3b_angles.txt,163
500,330,Min-Max,716.0,53.6,results/base_logs/diffrepair_e3b_angles.txt,163
1000,0,WCL,1146.0,91.7,results/base_logs/diffrepair_e3b_angles.txt,165
1000,0,ABS,876.0,36.6,results/base_logs/diffrepair_e3b_angles.txt,165
1000,0,DIFF,1239.0,28.5,results/base_logs/diffrepair_e3b_angles.txt,165
1000,0,Min-Max,916.0,96.5,results/base_logs/diffrepair_e3b_angles.txt,165
1000,30,WCL,861.0,44.0,results/base_logs/diffrepair_e3b_angles.txt,166
1000,30,ABS,863.0,34.6,results/base_logs/diffrepair_e3b_angles.txt,166
1000,30,DIFF,1386.0,43.8,results/base_logs/diffrepair_e3b_angles.txt,166
1000,30,Min-Max,870.0,86.6,results/base_logs/diffrepair_e3b_angles.txt,166
1000,60,WCL,1025.0,71.5,results/base_logs/diffrepair_e3b_angles.txt,167
1000,60,ABS,870.0,35.7,results/base_logs/diffrepair_e3b_angles.txt,167
1000,60,DIFF,1531.0,58.8,results/base_logs/diffrepair_e3b_angles.txt,167
1000,60,Min-Max,828.0,77.8,results/base_logs/diffrepair_e3b_angles.txt,167
1000,90,WCL,1044.0,74.6,results/base_logs/diffrepair_e3b_angles.txt,168
1000,90,ABS,904.0,41.1,results/base_logs/diffrepair_e3b_angles.txt,168
1000,90,DIFF,1614.0,67.4,results/base_logs/diffrepair_e3b_angles.txt,168
1000,90,Min-Max,802.0,72.1,results/base_logs/diffrepair_e3b_angles.txt,168
1000,120,WCL,929.0,55.4,results/base_logs/diffrepair_e3b_angles.txt,169
1000,120,ABS,898.0,40.0,results/base_logs/diffrepair_e3b_angles.txt,169
